f_GHz,y_fit,y_model,residuals,baseline_raw
2.7972,0.9803154376034652,0.9893014255017665,-0.008985987898301295,0.07816903864484681
2.7974,0.9806781986082328,0.9900117571594983,-0.009333558551265497,0.07816133092734878
2.7976,0.9788991858270443,0.9904985199390683,-0.011599334112024073,0.0781536431200025
2.7978,0.978336221004386,0.9908094200787633,-0.012473199074377272,0.07814597522280975
2.798,0.9798895624426098,0.99097366492623,-0.011084102483620129,0.07813832723576919
2.7982,0.9803655077828536,0.9910076733925451,-0.010642165609691556,0.07813069915888082
2.7984,0.9817667257072302,0.9909183338406525,-0.009151608133422307,0.07812309099214554
2.7986,0.9790221457127777,0.9907046010640168,-0.01168245535123913,0.078115502735562
2.7988,0.979395959757685,0.9903578752406914,-0.010961915483006401,0.07810793438913155
2.799,0.9801880629920928,0.9898613227290636,-0.009673259736970752,0.07810038595285373
2.7992,0.9800669633833555,0.9891880576533918,-0.009121094270036267,0.07809285742672811
2.7994,0.9794002110043554,0.9882978457824825,-0.008897634778127106,0.07808534881075513
2.7996,0.9787584497275039,0.9871316442560134,-0.008373194528509487,0.07807786010493434
2.7998,0.9781797442616115,0.9856027504197863,-0.007423006158174816,0.07807039130926663
2.8,0.9749871802267409,0.9835824550526704,-0.008595274825929478,0.07806294242375156
2.8002,0.9735066515772779,0.980876717268392,-0.007370065691114092,0.07805551344838824
2.8004,0.9713403710326212,0.9771885862761903,-0.005848215243569155,0.078048104383178
2.8006,0.9662673075597863,0.9720605695614742,-0.005793262001687949,0.0780407152281204
2.8008,0.9624241327617089,0.9648009341648175,-0.002376801403108586,0.07803334598321499
2.801,0.9534266727747053,0.9544559505898125,-0.001029277815107199,0.07802599664846221
2.8012,0.9431832562643656,0.9401198018833612,0.0030634543810044157,0.07801866722386164
2.8014,0.9253459023686541,0.9224399004333338,0.0029060019353203126,0.07801135770941414
2.8016,0.9016265122282295,0.9068903125055822,-0.005263800277352626,0.07800406810511884
2.8018,0.8954887024010932,0.9031826104610131,-0.007693908059919874,0.07799679841097573
