rank,candidate_idx,perm,signs,alpha_deg,beta_deg,gamma_deg,chi2,chi2_data_only,rms_MHz_per_mm,surface_cosine_abs,success
97,80,"(0, 3, 2, 1)","(-1, -1, -1, -1)",5.37721455024755e-10,89.83846011035,29.99999999920362,3.1593520813574807e-09,4.632193987115206e-22,2.9233530645295473e-15,0.9999960254861421,True
98,126,"(1, 0, 3, 2)","(1, 1, 1, -1)",-6.7401303617788365e-09,89.83846010993412,3.4673768498497926e-09,3.159352114010308e-09,7.419654478929341e-23,6.492669298735907e-15,0.9999960254861215,True
99,276,"(2, 3, 1, 0)","(-1, 1, -1, -1)",4.486001242321483e-09,89.83846010972829,30.0000000048393,3.1593521300721054e-09,1.8572368298941217e-23,5.223163757617918e-15,0.9999960254861114,True
100,283,"(2, 3, 1, 0)","(1, -1, 1, 1)",4.486001242321483e-09,89.83846010972829,30.0000000048393,3.1593521300721054e-09,1.8572368298941217e-23,5.223163757617918e-15,0.9999960254861114,True
101,50,"(0, 2, 3, 1)","(-1, -1, 1, -1)",29.99999999813104,89.83846010921084,3.571745289961626e-09,3.1593521704914737e-09,6.881496553509186e-27,4.911822067014366e-15,0.999996025486086,True
102,61,"(0, 2, 3, 1)","(1, 1, -1, 1)",29.99999999813104,89.83846010921084,3.571745289961626e-09,3.1593521704914737e-09,6.928014302772682e-27,5.0193869307412495e-15,0.999996025486086,True
103,311,"(3, 0, 2, 1)","(-1, 1, 1, 1)",6.281701211732796e-09,89.83846010917559,30.000000007403063,3.1593521733170367e-09,1.5008114703722415e-21,6.254146881646489e-15,0.9999960254860842,True
104,312,"(3, 0, 2, 1)","(1, -1, -1, -1)",6.281701211732796e-09,89.83846010917559,30.000000007403063,3.1593521733170367e-09,1.5008114703722415e-21,6.254146881646489e-15,0.9999960254860842,True
105,225,"(2, 1, 0, 3)","(-1, -1, -1, 1)",-6.412051720607249e-10,89.83846010907631,2.012112619097044e-09,3.159352181082614e-09,9.078963334907647e-22,3.5734697288860764e-15,0.9999960254860794,True
106,72,"(0, 3, 1, 2)","(1, -1, -1, -1)",1.326971604611764e-09,89.83846010745631,7.741803090340474e-10,3.1593523078123972e-09,9.079233283451125e-22,4.933522660990485e-15,0.9999960254859996,True
107,71,"(0, 3, 1, 2)","(-1, 1, 1, 1)",29.99999999857409,89.83846010710998,-2.5471719665290475e-09,3.1593523348184355e-09,1.8528950246123053e-21,8.800924958854502e-15,0.9999960254859827,True
108,56,"(0, 2, 3, 1)","(1, -1, -1, -1)",3.7670410502943464e-10,89.83846010672656,30.000000002232262,3.159352364822242e-09,2.716167651115997e-26,4.2227412161335776e-15,0.9999960254859638,True
109,199,"(2, 0, 1, 3)","(-1, 1, 1, 1)",30.00000000211931,89.83846010660466,1.5306473432593148e-09,3.159352374358195e-09,4.743353822188234e-21,6.211959911900685e-15,0.9999960254859578,True
110,55,"(0, 2, 3, 1)","(-1, 1, 1, 1)",3.5447700818482853e-09,89.8384601065551,30.00000000540033,3.159352378240169e-09,3.6317570938985785e-21,1.2626641511724522e-14,0.9999960254859553,True
111,171,"(1, 3, 0, 2)","(1, -1, 1, 1)",30.000000001895156,89.83846010655304,2.9377916227298576e-09,3.1593523784131153e-09,7.444077566712933e-23,9.105633863667415e-15,0.9999960254859552,True
112,161,"(1, 3, 0, 2)","(-1, -1, -1, 1)",-2.549194128818385e-09,89.83846010611737,30.000000001605994,3.159352412480532e-09,2.241955336370171e-21,4.7276906604876336e-15,0.9999960254859338,True
113,174,"(1, 3, 0, 2)","(1, 1, 1, -1)",-2.549194128818385e-09,89.83846010611737,30.000000001605994,3.159352412480532e-09,2.241955336370171e-21,4.7276906604876336e-15,0.9999960254859338,True
114,100,"(1, 0, 2, 3)","(-1, 1, -1, -1)",1.074935225525722e-09,89.83846010608814,1.0498940203791818e-09,3.1593524147743414e-09,1.5008101465738694e-21,4.986537186931827e-15,0.9999960254859324,True
115,107,"(1, 0, 2, 3)","(1, -1, 1, 1)",1.074935225525722e-09,89.83846010608814,1.0498940203791818e-09,3.1593524147743414e-09,1.5008101465738694e-21,4.986537186931827e-15,0.9999960254859324,True
116,304,"(3, 0, 2, 1)","(-1, -1, -1, -1)",9.842713684637408e-10,89.83846010603955,-1.4409559595282425e-10,3.159352418656389e-09,4.632147832029569e-22,3.1006841635969763e-15,0.9999960254859299,True
117,180,"(1, 3, 2, 0)","(-1, 1, -1, -1)",-6.844326639029164e-11,89.83846010597819,-7.785224658238557e-10,3.1593524234218273e-09,2.9646429594808176e-22,6.725178453592986e-15,0.9999960254859269,True
118,365,"(3, 2, 0, 1)","(1, 1, -1, 1)",30.000000000842558,89.83846010596703,6.718544793409416e-10,3.1593524243042164e-09,1.667981529252581e-22,3.72435286326848e-15,0.9999960254859264,True
119,97,"(1, 0, 2, 3)","(-1, -1, -1, 1)",3.0843046332744705e-10,89.83846010596378,30.00000000033283,3.1593524244841857e-09,3.631594677937165e-21,7.944109290391274e-15,0.9999960254859263,True
120,110,"(1, 0, 2, 3)","(1, 1, 1, -1)",3.0843046332744705e-10,89.83846010596378,30.00000000033283,3.1593524244841857e-09,3.631594677937165e-21,7.944109290391274e-15,0.9999960254859263,True
121,20,"(0, 1, 3, 2)","(-1, 1, -1, -1)",7.56489308422161e-10,89.83846010587305,-3.110014373259474e-10,3.159352431718121e-09,9.080630792421187e-22,8.300232068400358e-15,0.9999960254859217,True
122,27,"(0, 1, 3, 2)","(1, -1, 1, 1)",7.56489308422161e-10,89.83846010587305,-3.110014373259474e-10,3.159352431718121e-09,9.080630792421187e-22,8.300232068400358e-15,0.9999960254859217,True
123,103,"(1, 0, 2, 3)","(-1, 1, 1, 1)",29.99999999734279,89.83846010586569,1.2547017754303678e-09,3.1593524322470214e-09,2.9647168099685237e-22,5.487093148100849e-15,0.9999960254859214,True
124,104,"(1, 0, 2, 3)","(1, -1, -1, -1)",29.99999999734279,89.83846010586569,1.2547017754303678e-09,3.1593524322470214e-09,2.9647168099685237e-22,5.487093148100849e-15,0.9999960254859214,True
125,94,"(0, 3, 2, 1)","(1, 1, 1, -1)",29.999999997512575,89.83846010584661,4.908992609289937e-10,3.159352433659052e-09,2.964627365042041e-22,3.1112667341694604e-15,0.9999960254859205,True
126,324,"(3, 1, 0, 2)","(-1, 1, -1, -1)",-8.649441888443226e-10,89.83846010572877,29.9999999975193,3.159352443013628e-09,1.6676514833683363e-22,5.281052917742937e-15,0.9999960254859146,True
127,96,"(1, 0, 2, 3)","(-1, -1, -1, -1)",30.000000000104276,89.83846010571342,-2.9193490631601626e-10,3.1593524440725584e-09,7.417380600235341e-23,3.688882027804963e-15,0.9999960254859139,True
